PLAYER,Mat.x,Inns.x,NO,Runs.x,HS,Avg.x,BF,SR.x,X100,X50,X4s,X6s,Mat.y,Inns.y,Ov,Runs.y,Wkts,BBI,Avg.y,Econ,SR.y,X4w,X5w,y
Aaron Finch,10,9,1,134,46,16.75,100,134,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0
AB de Villiers,12,11,2,480,90,53.33,275,174.54,0,6,39,30,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Sharma,3,3,2,63,46,63,33,190.9,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,15,14,1,370,65,28.46,313,118.21,0,1,39,5,0,0,0,0,0,0,0,0,0,0,0,0
Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0
Ambati Rayudu,16,16,2,602,100,43,402,149.75,1,3,53,34,0,0,0,0,0,0,0,0,0,0,0,0
Andre Russell,16,14,3,316,88,28.72,171,184.79,0,1,17,31,16,15,37.5,355,13,0,27.3,9.38,17.46,0,0,0
Andrew Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,1,14,14,56,448,24,0,18.66,8,14,3,0,0
Axar Patel,9,8,2,80,19,13.33,69,115.94,0,0,3,4,9,8,26,218,3,0,72.66,8.38,52,0,0,0
Ben Cutting,9,6,2,96,37,24,58,165.51,0,0,5,8,9,7,17,168,2,0,84,9.88,51,0,0,0
Ben Stokes,13,13,1,196,45,16.33,161,121.73,0,0,13,6,13,12,37,303,8,0,37.87,8.18,27.75,0,0,0
Bhuvneshwar Kumar,12,4,2,13,7,6.5,16,81.25,0,0,1,0,12,12,46.1,354,9,0,39.33,7.66,30.77,0,0,0
Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Brathwaite,4,4,1,75,43,25,48,156.25,0,0,1,8,4,4,10.1,94,5,0,18.8,9.24,12.2,0,0,0
Chris Gayle,11,11,2,368,104,40.88,252,146.03,1,3,30,27,0,0,0,0,0,0,0,0,0,0,0,0
Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18,0,0,0,0,0,0,0,0,0,0,0,0
Chris Morris,4,4,3,46,27,46,26,176.92,0,0,3,2,4,4,14,143,3,0,47.66,10.21,28,0,0,0
Chris Woakes,5,4,2,17,11,8.5,19,89.47,0,0,1,1,5,5,18.2,190,8,0,23.75,10.36,13.75,0,0,0
Colin de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,4,10,9,7,15,129,2,0,64.5,8.6,45,0,0,0
Colin Munro,5,5,0,63,33,12.6,41,153.65,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0
Corey Anderson,3,3,0,17,15,5.66,22,77.27,0,0,0,1,3,3,8.4,115,3,0,38.33,13.26,17.33,0,0,0
D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5,7,2,3,19,1,0,19,6.33,18,0,0,0
Dan Christian,4,3,1,26,13,13,33,78.78,0,0,0,1,4,4,11.5,101,4,0,25.25,8.53,17.75,0,0,0
David Miller,3,3,1,74,26,37,64,115.62,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Deepak Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,4,12,12,38.1,278,10,0,27.8,7.28,22.9,0,0,0
Deepak Hooda,9,8,4,87,32,21.75,81,107.4,0,0,2,3,9,2,3,24,0,0,0,8,0,0,0,0
Dinesh Karthik,16,16,6,498,52,49.8,337,147.77,0,2,49,16,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Bravo,16,10,6,141,68,35.25,91,154.94,0,1,8,10,16,16,53.3,533,14,0,38.07,9.96,22.92,0,0,0
Evin Lewis,13,13,0,382,65,29.38,276,138.4,0,2,32,24,0,0,0,0,0,0,0,0,0,0,0,0
Faf du Plessis,6,6,1,162,67,32.4,129,125.58,0,1,17,6,0,0,0,0,0,0,0,0,0,0,0,0
Gautam Gambhir,6,5,0,85,55,17,88,96.59,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,14,9,12,10,16,132,5,0,26.4,8.25,19.2,0,0,0
Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,3,1,13,12,31.5,270,7,0,38.57,8.48,27.28,0,0,0
Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11,13,13,42.4,381,18,0,21.16,8.92,14.22,0,0,0
Harshal Patel,5,2,1,60,36,60,33,181.81,0,0,1,6,5,5,17.3,167,7,0,23.85,9.54,15,0,0,0
Heinrich Klaasen,4,4,1,57,32,19,47,121.27,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17,0,0,0,0,0,0,0,0,0,0,0,0
Jason Roy,5,5,1,120,91,30,94,127.65,0,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0
Jaydev U0dkat,15,7,3,49,26,12.25,38,128.94,0,0,6,1,15,15,50.2,486,11,0,44.18,9.65,27.45,0,0,0
Jofra Archer,10,8,3,15,8,3,21,71.42,0,0,2,0,10,10,38.5,325,15,0,21.66,8.36,15.53,0,0,0
Jos Buttler,13,13,3,548,95,54.8,353,155.24,0,5,52,21,0,0,0,0,0,0,0,0,0,0,0,0
JP Duminy,6,4,3,36,23,36,40,90,0,0,3,1,6,2,3,36,0,0,0,12,0,0,0,0
Kane Williamson ,17,17,3,735,84,52.5,516,142.44,0,8,64,28,0,0,0,0,0,0,0,0,0,0,0,0
Karun 0ir,13,12,0,301,54,25.08,221,136.19,0,2,23,13,0,0,0,0,0,0,0,0,0,0,0,0
Kedar Jadhav,1,1,1,24,24,0,22,109.09,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Kieron Pollard,9,8,1,133,50,19,100,133,0,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0
Krish0ppa Gowtham,15,13,4,126,33,14,64,196.87,0,0,9,9,15,15,40,312,11,0,28.36,7.8,21.81,0,0,0
Kru0l Pandya,14,13,3,228,41,22.8,157,145.22,0,0,22,10,14,13,40.1,284,12,0,23.66,7.07,20.08,0,0,0
Lokesh Rahul,14,14,2,659,95,54.91,416,158.41,0,6,66,32,0,0,0,0,0,0,0,0,0,0,0,0
Mahipal Lomror,2,2,1,20,11,20,21,95.23,0,0,1,0,2,2,3,27,0,0,0,9,0,0,0,0
Ma0n Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Mandeep Singh,14,13,3,252,47,25.2,186,135.48,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0
Manish Pandey,15,13,2,284,62,25.81,246,115.44,0,3,22,5,0,0,0,0,0,0,0,0,0,0,0,0
Manoj Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,4,1,5,1,1,10,0,0,0,10,0,0,0,0
Marcus Stoinis,7,7,3,99,29,24.75,76,130.26,0,0,6,4,7,6,11,120,3,0,40,10.9,22,0,0,0
Mayank Agarwal,11,11,1,120,30,12,94,127.65,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0
Mayank Markande,14,6,4,21,7,10.5,24,87.5,0,0,2,0,14,14,44,368,15,0,24.53,8.36,17.6,1,0,0
Mitchell Johnson,6,2,2,16,12,0,11,145.45,0,0,2,0,6,6,21,216,2,0,108,10.28,63,0,0,0
Moeen Ali,5,4,0,77,65,19.25,46,167.39,0,1,4,6,5,5,13.1,97,3,0,32.33,7.36,26.33,0,0,0
Mohammad 0bi,2,2,0,18,14,9,12,150,0,0,3,0,2,2,5,47,1,0,47,9.4,30,0,0,0
Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,2,1,11,11,41,367,11,0,33.36,8.95,22.36,0,0,0
MS Dhoni,16,15,9,455,79,75.83,302,150.66,0,3,24,30,0,0,0,0,0,0,0,0,0,0,0,0
Nitish Ra0,15,15,2,304,59,23.38,232,131.03,0,1,26,14,15,5,6.1,44,4,0,11,7.13,9.25,0,0,0
Parthiv Patel,6,6,1,153,53,30.6,109,140.36,0,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0
Piyush Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1,15,15,49,412,14,0,29.42,8.4,21,0,0,0
Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10,0,0,0,0,0,0,0,0,0,0,0,0
Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0
Rahul Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,5,1,8,8,22,173,6,0,28.83,7.86,22,0,0,0
Rahul Tripathi,12,12,3,226,80,25.11,167,135.32,0,1,18,8,0,0,0,0,0,0,0,0,0,0,0,0
Rashid Khan,17,7,2,59,34,11.8,31,190.32,0,0,3,6,17,17,68,458,21,0,21.8,6.73,19.42,0,0,0
Ravichandran Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,7,5,14,14,50.4,410,10,0,41,8.09,30.4,0,0,0
Ravindra Jadeja,16,10,5,89,27,17.8,74,120.27,0,0,3,4,16,14,41,303,11,0,27.54,7.39,22.36,0,0,0
Rinku Singh,4,4,0,29,16,7.25,31,93.54,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rishabh Pant,14,14,1,684,128,52.61,394,173.6,1,5,68,37,0,0,0,0,0,0,0,0,0,0,0,0
Robin Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,30,21,0,0,0,0,0,0,0,0,0,0,0,0
Rohit Sharma,14,14,2,286,94,23.83,215,133.02,0,2,25,12,0,0,0,0,0,0,0,0,0,0,0,0
Sam Billings,10,8,0,108,56,13.5,78,138.46,0,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0
Sanju Samson,15,15,1,441,92,31.5,320,137.81,0,3,30,19,0,0,0,0,0,0,0,0,0,0,0,0
Sarfaraz Khan,7,6,1,51,22,10.2,41,124.39,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,26,5,17,17,57,456,14,0,32.57,8,24.42,0,0,0
Shane Watson,15,15,1,555,117,39.64,359,154.59,2,2,44,35,15,11,28,251,6,0,41.83,8.96,28,0,0,0
Shardul Thakur,13,1,1,15,15,0,5,300,0,0,3,0,13,13,46.4,431,16,0,26.93,9.23,17.5,0,0,0
Shikhar Dhawan,16,16,3,497,92,38.23,363,136.91,0,4,59,14,0,0,0,0,0,0,0,0,0,0,0,0
Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,0,9,9,28,270,5,0,54,9.64,33.6,0,0,0
Shreevats Goswami,6,3,0,52,35,17.33,40,130,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Shreyas Gopal,11,4,1,50,24,16.66,45,111.11,0,0,5,0,11,10,31,236,11,0,21.45,7.61,16.9,1,0,0
Shreyas Iyer,14,14,3,411,93,37.36,310,132.58,0,4,29,21,0,0,0,0,0,0,0,0,0,0,0,0
Shubman Gill,13,11,5,203,57,33.83,139,146.04,0,1,22,5,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Binny,7,5,0,44,22,8.8,39,112.82,0,0,2,2,7,1,2,33,0,0,0,16.5,0,0,0,0
Sunil 0rine,16,16,0,357,75,22.31,188,189.89,0,2,40,23,16,16,61,467,17,0,27.47,7.65,21.52,0,0,0
Suresh Rai0,15,15,3,445,75,37.08,336,132.44,0,4,46,12,0,0,0,0,0,0,0,0,0,0,0,0
Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16,0,0,0,0,0,0,0,0,0,0,0,0
Tim Southee,8,4,2,52,36,26,46,113.04,0,0,5,1,8,8,29,261,5,0,52.2,9,34.8,0,0,0
Tom Curran,5,4,1,23,18,7.66,28,82.14,0,0,3,0,5,5,10.1,118,6,0,19.66,11.6,10.16,0,0,0
Vijay Shankar,13,11,7,212,54,53,148,143.24,0,1,11,11,13,4,5,58,1,0,58,11.6,30,0,0,0
Virat Kohli,14,14,3,530,92,48.18,381,139.1,0,4,52,18,0,0,0,0,0,0,0,0,0,0,0,0
Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4,7,7,20,192,4,0,48,9.6,30,0,0,0
Wriddhiman Saha,11,10,2,122,35,15.25,102,119.6,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0
Yusuf Pathan,15,13,4,260,45,28.88,200,130,0,0,22,11,15,1,2,14,1,0,14,7,12,0,0,0
Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,6,2,8,2,2,23,0,0,0,11.5,0,0,0,0
Akila Da0njaya,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,47,0,0,0,11.75,0,0,0,0
Amit Mishra,0,0,0,0,0,0,0,0,0,0,0,0,10,10,37,264,12,0,22,7.13,18.5,0,0,0
Ankit Rajpoot,0,0,0,0,0,0,0,0,0,0,0,0,8,8,26.1,223,11,0,20.27,8.52,14.27,0,1,0
Ankit Sharma,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,0,0,0,11,0,0,0,0
Anureet Singh,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,42,1,0,42,10.5,24,0,0,0
Avesh Khan,0,0,0,0,0,0,0,0,0,0,0,0,6,6,19,204,4,0,51,10.73,28.5,0,0,0
Barinder Sran,0,0,0,0,0,0,0,0,0,0,0,0,6,6,22,229,4,0,57.25,10.4,33,0,0,0
Basil Thampi,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10.1,114,5,0,22.8,11.21,12.2,0,0,0
Ben Laughlin,0,0,0,0,0,0,0,0,0,0,0,0,7,7,21,211,9,0,23.44,10.04,14,0,0,0
Billy Stanlake,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,130,5,0,26,8.12,19.2,0,0,0
Chris Jordan,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,31,0,0,0,7.75,0,0,0,0
David Willey,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,95,2,0,47.5,9.5,30,0,0,0
Dhawal Kulkarni,0,0,0,0,0,0,0,0,0,0,0,0,8,8,19.5,188,4,0,47,9.47,29.75,0,0,0
Imran Tahir,0,0,0,0,0,0,0,0,0,0,0,0,6,6,20.4,188,6,0,31.33,9.09,20.66,0,0,0
Ish Sodhi,0,0,0,0,0,0,0,0,0,0,0,0,6,6,23,135,5,0,27,5.86,27.6,0,0,0
Jasprit Bumrah,0,0,0,0,0,0,0,0,0,0,0,0,14,14,54,372,17,0,21.88,6.88,19.05,0,0,0
Javon Searles,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,89,2,0,44.5,12.71,21,0,0,0
Junior Dala,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,34,0,0,0,11.33,0,0,0,0
Karn Sharma,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9.3,89,4,0,22.25,9.36,14.25,0,0,0
Khaleel Ahmed,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,38,0,0,0,12.66,0,0,0,0
KM Asif,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,75,3,0,25,12.5,12,0,0,0
Kuldeep Yadav,0,0,0,0,0,0,0,0,0,0,0,0,16,16,51.2,418,17,0,24.58,8.14,18.11,1,0,0
Kulwant Khejroliya,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10.5,107,2,0,53.5,9.87,32.5,0,0,0
Liam Plunkett,0,0,0,0,0,0,0,0,0,0,0,0,7,7,25,225,4,0,56.25,9,37.5,0,0,0
Lungi Ngidi,0,0,0,0,0,0,0,0,0,0,0,0,7,7,26,156,11,0,14.18,6,14.18,1,0,0
Mark Wood,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,49,0,0,0,12.25,0,0,0,0
Mitchell McCle0ghan,0,0,0,0,0,0,0,0,0,0,0,0,11,11,40,332,14,0,23.71,8.3,17.14,0,0,0
Mohammed Shami,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13.5,144,3,0,48,10.4,27.66,0,0,0
Mohit Sharma,0,0,0,0,0,0,0,0,0,0,0,0,9,9,29.4,322,7,0,46,10.85,25.42,0,0,0
Mujeeb Ur Rahman,0,0,0,0,0,0,0,0,0,0,0,0,11,11,41.2,289,14,0,20.64,6.99,17.71,0,0,0
Murugan Ashwin,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,53,3,0,17.66,7.57,14,0,0,0
Mustafizur Rahman,0,0,0,0,0,0,0,0,0,0,0,0,7,7,27.3,230,7,0,32.85,8.36,23.57,0,0,0
Pawan Negi,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,49,1,0,49,12.25,24,0,0,0
Pradeep Sangwan,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,19,0,0,0,9.5,0,0,0,0
Prasidh Krish0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,28,260,10,0,26,9.28,16.8,1,0,0
Sandeep Lamichhane,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,82,5,0,16.4,6.83,14.4,0,0,0
Sandeep Sharma,0,0,0,0,0,0,0,0,0,0,0,0,12,12,44,333,12,0,27.75,7.56,22,0,0,0
Shahbaz 0deem,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,161,3,0,53.66,10.73,30,0,0,0
Siddarth Kaul,0,0,0,0,0,0,0,0,0,0,0,0,17,17,66,547,21,0,26.04,8.28,18.85,0,0,0
Trent Boult,0,0,0,0,0,0,0,0,0,0,0,0,14,14,52.4,466,18,0,25.88,8.84,17.55,0,0,0
Umesh Yadav,0,0,0,0,0,0,0,0,0,0,0,0,14,14,53.1,418,20,0,20.9,7.86,15.95,0,0,0
Vi0y Kumar,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.5,65,2,0,32.5,16.95,11.5,0,0,0
Yuzvendra Chahal,0,0,0,0,0,0,0,0,0,0,0,0,14,14,50,363,12,0,30.25,7.26,25,0,0,0
