Country Name,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012
Arab World,-485569,-849826,-876979,1697107,103693,-1021606,293332,-1432980,396646,4413525,-1168750
Caribbean small states,-247909,-316430,-289373,-284532,-303086,-387993,-249602,-181604,-174651,-127609,-124122
Central Europe and the Baltics,112936,-227571,-104933,-85960,-279101,-819390,-1514119,-1176975,-593078,-811784,-770310
Early-demographic dividend,-1127882,-2453929,-3192784,-4981537,1228808,-1903124,-8288636,-7729474,-14370853,-14314078,-12621653
East Asia & Pacific,-479477,628975,-808879,-1454415,713290,392043,-2395809,-385097,-2992651,-5719538,-1457489
East Asia & Pacific (excluding high income),-1086544,-582028,-1239154,-1912183,-525665,-390019,-3110397,-1362174,-4975250,-8308340,-3728059
East Asia & Pacific (IDA & IBRD countries),-1086544,-582028,-1239154,-1912183,-525665,-390019,-3110397,-1362174,-4975250,-8308340,-3728059
Euro area,974732,247447,2255999,1627705,745736,2441366,4907571,2840300,6201684,4638063,1575613
Europe & Central Asia,1533274,377468,2318325,1429251,833519,949003,1950916,480855,6969397,7418656,5547385
Europe & Central Asia (excluding high income),10238,224818,31783,-202389,237484,-1406767,-3419220,-2809431,-793952,58963,2121162
Europe & Central Asia (IDA & IBRD countries),1896,80479,-157523,-290303,209962,-1839608,-3803301,-3241492,-758482,41666,2027353
European Union,1217105,23657,2173816,1548770,265084,1796483,4201189,2448237,6933624,5884417,2324066
Fragile and conflict affected situations,-118109,-157483,-556738,-100562,-4786010,-4143997,1012375,-2845812,-1638769,-2889159,-4018991
Heavily indebted poor countries (HIPC),-274305,-253406,-1164717,-3255550,-5433668,-2700825,3134824,-2697152,-1375699,-3090205,-2672487
High income,3573488,3635870,7145777,7928492,7164586,8638343,11617847,14460563,18497281,22686636,15359563
Late-demographic dividend,-2291864,-1635843,-2129860,-1739365,-969708,-1703926,-4814532,-2127648,-642281,927371,1194303
Latin America & Caribbean,-1400307,-2001834,-2220184,-3146290,-3443208,-3509490,-3239912,-4325806,-5546821,-2675725,-2081948
Latin America & Caribbean (excluding high income),-1205979,-1724440,-1955477,-2963799,-3265079,-3343434,-3247230,-4294365,-5387792,-2640776,-2159855
Latin America & the Caribbean (IDA & IBRD countries),-1100369,-1614223,-1985477,-2949147,-3105502,-3348226,-3114035,-4112852,-5261446,-2368828,-1913623
Least developed countries: UN classification,-886867,-862527,-4824809,-4350241,-6377448,-3756203,1732313,-3862918,-4296546,-8375096,-4741314
Low & middle income,-3826648,-4094255,-7032007,-8095133,-7150407,-8501035,-11472337,-14329437,-18714994,-22729859,-15350665
Low income,-510960,-63036,-1271457,-3163339,-5714429,-3088354,749912,-2112809,-983039,-2543110,-1115618
Lower middle income,100180,-1858025,-2519524,-1846086,-1579249,-3343466,-5635256,-8651606,-14179486,-17104727,-15784815
Middle East & North Africa,-299675,-731461,-651693,406941,2711242,906434,-1961791,18067,1045034,5031419,-213002
Middle East & North Africa (excluding high income),-801516,-1178377,-1733109,-1303996,855807,-204318,-2219266,-752761,-1686956,-1442624,-3615666
Middle East & North Africa (IDA & IBRD countries),-723877,-894743,-1700859,-1220296,917257,-164968,-2254266,-822761,-1496956,-1352624,-3571916
Middle income,-3315688,-4031219,-5760550,-4931794,-1435978,-5412681,-12222249,-12216628,-17731955,-20186749,-14235047
North America,1136723,2103693,3612021,4310838,3655389,4561110,5267705,9453948,6175859,6300158,6183750
OECD members,2531631,2664622,5119370,4356805,3526638,5681741,10140443,11452785,12775444,15773864,13138424
Other small states,-102880,-40167,-26137,-33719,62757,155225,-298858,-127911,222163,987643,332029
Pacific island small states,2297,-17349,-39393,-48858,-48025,-104291,-68700,-92620,-105941,-75792,-71075
Post-demographic dividend,3354009,3544112,6275958,6160968,5512813,7898606,10607152,13029889,15351199,16128162,12324314
Pre-demographic dividend,-173453,88665,-836285,406039,-5748651,-4139787,2656522,-3020049,-548701,-2798921,-891831
Small states,-348492,-373946,-354903,-367109,-288354,-337059,-617160,-402135,-58429,784242,136832
South Asia,-454109,-689461,-1196421,-650272,-2923138,-1873468,-701580,-3508471,-5336232,-9901386,-6280804
South Asia (IDA & IBRD),-454109,-689461,-1196421,-650272,-2923138,-1873468,-701580,-3508471,-5336232,-9901386,-6280804
Sub-Saharan Africa,-289589,-145765,-939399,-1062694,-1532915,-1288324,1225981,-1602370,-532299,-496807,-1688994
Sub-Saharan Africa (excluding high income),-288738,-144767,-939629,-1062494,-1529816,-1283029,1225356,-1602235,-534812,-495696,-1687443
Sub-Saharan Africa (IDA & IBRD countries),-289589,-145765,-939399,-1062694,-1532915,-1288324,1225981,-1602370,-532299,-496807,-1688994
Upper middle income,-3415868,-2173194,-3241026,-3085708,143271,-2069215,-6586993,-3565022,-3552469,-3082022,1549768
World,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,-20000,-20000,-20000,-1117459,-3418299,-1484185,2227474,-379474,804120,-677497,473007
Albania,-99,-99,-99,-99,-99,-99,-443212,-179606,-175406,-252926,-91750
Algeria,-284266,-121335,-247822,-224833,-81020,-93302,-128679,-164413,-205228,-357340,-143268
Angola,-135000,-201155,-80955,11455,234149,-150282,142811,-126701,172594,85286,102322
Antigua and Barbuda,-1703,-1625,-2874,-3492,-8840,-7629,2617,4421,-282,-92,-56
Argentina,122001,130001,290000,-230001,139999,160002,29999,-80000,-90000,-84998,30000
Armenia,70335,103399,86404,35724,-22331,-58313,-496288,-223873,-143966,-136009,-9876
Aruba,-4323,-4275,-3537,-5470,-1921,-5194,14218,6926,6263,-441,1253
Australia,382989,852782,264129,235744,456227,666233,351078,377552,575104,1132688,1023107
Austria,15996,50401,82001,5502,18002,110999,227841,65082,178117,153763,147089
Azerbaijan,66429,50466,14620,-28122,-40822,-118757,-105573,-119785,10655,-96798,-16125
"Bahamas, The",14357,14080,887,2791,180,-1099,-395,-3097,15483,14363,9672
Bahrain,-4341,-7199,19123,48962,3195,12899,5480,43086,133500,316544,29915
Bangladesh,-142378,-161822,-3028254,-1101492,-837319,-219363,-853717,-756121,-1700003,-3570954,-2226481
Barbados,-15903,-11880,-5433,-3595,-5589,-4077,-3263,-1323,-77,2050,2180
Belarus,-125387,57574,23022,10001,47114,-6309,-63057,56146,-6382,63933,120535
Belgium,71911,86168,39275,70243,13460,44794,115391,67177,247560,267204,269998
Belize,-2418,-2957,-10665,-13542,-5332,-5404,-9011,11909,5797,8722,7594
Benin,-24295,-23742,-24845,-19393,-10848,-8723,105000,-29287,98831,50000,-10000
Bhutan,5000,10000,20000,15000,797,1595,-85887,143,34976,16829,10000
Bolivia,-34003,-37001,-42998,-60007,-87002,-106998,-90997,-83002,-89995,-84003,-61794
Bosnia and Herzegovina,-50002,-99999,-74999,-74999,-29999,-56374,-748374,-160020,34820,3677,-2506
Botswana,-15000,-6020,2326,14845,601,5803,17864,24546,21278,18730,20000
Brazil,0,0,0,0,0,0,0,0,0,0,15924
Brunei Darussalam,5209,10747,8005,5624,1827,243,1346,1852,2294,2441,2102
Bulgaria,-1437,-6423,-43396,-94868,-22346,-184143,-356464,-106602,-83002,-83002,-50000
Burkina Faso,-144723,-144723,-170263,-217400,-217400,-183699,-150001,-137499,-125000,-125000,-125000
Burundi,-84989,-57900,-260594,-150288,-86002,-44320,-250000,-404999,112532,163733,40000
Cabo Verde,-1167,4267,-34907,-27982,-20313,-27757,-6376,-2438,-9859,-25866,-11052
Cambodia,0,-225001,-125000,-84999,-88854,-78022,409414,348495,-35156,-295987,-149999
Cameroon,0,-1000,-2500,-8000,-55000,-65000,-80000,-80000,-90000,-90000,-60000
Canada,178066,608528,771526,438027,376129,875013,698764,761611,1026702,1229905,1175863
Central African Republic,11930,13145,-20075,-1000,40165,-40982,37392,11293,-45000,5000,10000
Chad,-5000,-40950,-49050,-175500,-131245,1418,-10374,69444,218966,70000,100000
Channel Islands,2934,3880,4250,1726,5380,6085,2120,3778,4592,4479,3654
Chile,-33751,-42595,-51769,-50998,-37305,7909,62545,71640,93789,139345,201289
China,-1058832,-12737,-1113125,-428313,-258072,-154256,-823657,-507000,-2144051,-2202103,-1800000
Colombia,-253998,-281000,-289998,-286998,-273997,-254001,-223998,-190000,-159003,-143000,-144998
Comoros,-8491,-5500,-5500,10000,-4500,-4500,-3000,-6000,-10000,-10000,-10000
"Congo, Dem. Rep.",122650,241910,27450,100685,-446860,74515,1202404,-1006384,-241564,-43426,-95920
"Congo, Rep.",0,500,6945,-7408,2097,1915,15531,35300,-13257,49872,-60000
Costa Rica,7905,7827,12638,17425,18876,17417,69202,89527,41792,30339,19658
Cote d'Ivoire,200000,300000,400000,420000,430000,325000,375000,180000,-370000,-220000,50000
Croatia,1854,-1225,-18403,18681,54369,26145,-143579,-188129,-2580,-22532,-20000
Cuba,-205000,-250000,-190000,-160000,-270000,-69999,-120006,-163997,-149998,-193998,-79999
Curacao,-7752,-4526,-5000,-13251,-8464,-14547,-11517,-17077,-6070,15363,5710
Cyprus,-43025,-7843,3053,-1215,-27634,17167,43195,53260,61830,44166,35000
Czech Republic,24999,-129099,9999,9999,-52946,5671,29999,46002,47402,250889,29999
Denmark,2256,21866,23256,14925,9319,32839,65466,74568,46306,87989,96839
Djibouti,18000,25000,34997,91193,9999,89998,-15000,-16501,-18151,-19965,-15996
Dominican Republic,-43490,-56172,-70824,-87098,-118102,-134470,-144154,-150146,-152553,-153773,-153010
Ecuador,-9002,-5500,-5499,-7198,-14001,-16998,-19000,-69999,-120002,-44999,-38001
"Egypt, Arab Rep.",-50100,-239700,-546796,-563569,-389781,-205428,-452508,-204143,-67708,-279228,-215681
El Salvador,-24031,-44306,-90977,-164230,-231749,-256685,-265152,-326853,-312786,-285671,-240415
Equatorial Guinea,0,0,-70000,-30000,65000,15000,15000,20000,25000,20000,20000
Eritrea,6997,4999,10000,10000,10000,-40000,-400002,-70000,110001,-160001,-160001
Estonia,43228,41204,30581,30510,25900,15497,-111876,-1197,-18406,-15151,-11850
Ethiopia,-19999,-42182,-59597,-2024797,250001,780074,1445274,-155577,-83182,-50132,-60001
Fiji,2451,-9567,-12506,-20709,-11628,-66875,-35796,-42260,-61797,-28754,-28720
Finland,-64984,-97937,28880,-29377,26181,18268,47223,22154,31935,71143,107409
France,1466682,416217,805181,146855,268131,481869,303416,188966,739395,480787,331555
French Polynesia,3190,3344,4388,3844,3650,241,-4324,3483,77,-3463,-500
Gabon,9410,16188,2999,4999,4999,4999,4999,9566,9566,9566,5000
"Gambia, The",-3232,118,9392,-3380,19475,48392,-14801,-26418,-13742,-13742,-13476
Georgia,51113,24146,-32156,-78920,-18616,-61577,-544069,-390036,-309021,-289534,-296323
Germany,666962,917575,714153,288662,23,1710683,3232654,744288,1217,31640,1249998
Ghana,0,-361999,-164002,-563999,206001,-30003,-16285,-112636,165518,189259,-49999
Greece,-145243,-99122,10771,330211,114020,158887,464636,297431,113586,80157,-136299
Grenada,-8968,-9319,-11426,-12867,-288,-15001,-3923,-4912,-4132,-4274,-4274
Guam,-2905,-1442,-2131,-1511,109,99,1739,-4116,-9556,-9776,0
Guatemala,-19999,-40498,-81000,-180001,-220003,-250001,-260001,-280001,-199998,-132000,-120001
Guinea,-13857,-18000,-275000,-353000,-38000,162450,800000,-246148,-368004,-55577,-10000
Guinea-Bissau,-20000,-7230,-15000,-28000,-30000,-28000,-30000,-30000,-30000,-25000,-10000
Guyana,2132,-43195,-52068,-53966,-121338,-134808,-76825,-54757,-58713,-34129,-27278
Haiti,-51997,-58003,-88000,-97999,-124999,-135001,-140001,-144998,-139999,-138004,-150000
Honduras,11000,-70000,-50000,-30000,-50002,-70001,-119999,-180003,-149999,-99997,-80000
"Hong Kong SAR, China",224481,-177802,66508,401993,82471,160164,155840,550810,-41256,44716,150000
Hungary,3984,-9921,-5948,51236,-119461,-99736,96796,78562,66163,95789,29999
Iceland,-732,-2757,-1061,-3929,260,646,-1054,1994,3894,8041,-378
India,-85382,-245182,2118323,1132181,483097,45147,-677938,-716900,-2206411,-2829378,-2598218
Indonesia,-107486,-40261,-90360,-202747,-49566,-166738,-381823,-344962,-851310,-1116994,-700000
"Iran, Islamic Rep.",-7838,51755,77633,419996,1969420,1344377,-2276004,615293,-70307,-549266,-300001
Iraq,-1862,-6877,-8587,-47791,-199939,-630184,-154026,-17859,-266320,-457332,548666
Ireland,-109734,-50860,37331,53058,-50745,-115193,-10648,83412,199949,198144,-140001
Israel,208759,72440,165879,62546,2604,65418,456923,245334,102935,273635,19497
Italy,-231607,-231781,19396,164927,266352,-10058,152825,223974,1624300,1006308,528269
Jamaica,-147722,-168398,-103176,-112462,-80344,-158694,-109999,-90002,-91999,-94999,-97000
Japan,209163,878290,457099,45014,212063,-628168,451392,16977,622058,445267,350000
Jordan,35715,254352,-29706,-80758,81657,118198,401472,-188262,-93897,449998,229617
Kazakhstan,691681,173343,-55461,-313630,-398259,-656091,-1511745,-1324984,44530,-35196,159807
Kenya,-20000,-19535,-17915,-2930,3805,5023,221569,-21386,25144,-189330,-50000
Kiribati,-1219,-1274,-1500,-2576,-3112,-766,-4598,-2977,-2039,-578,-2130
"Korea, Dem. People’s Rep.",0,0,0,0,0,0,0,0,0,0,0
"Korea, Rep.",-281388,-389118,-449729,-165179,317043,434981,-633048,-293082,229017,404715,300000
Kuwait,153599,137534,109162,112656,95952,110759,-580898,98500,139000,522000,517500
Kyrgyz Republic,116848,110071,34140,17954,-39988,-120200,-271590,-32705,-172911,-76604,-113963
Lao PDR,76,30,46,-198756,-35110,138,-45184,-131254,-175100,-117700,-117700
Latvia,76276,69482,54668,41271,39884,42002,-135622,-39042,-82692,-86168,-73442
Lebanon,20000,-70002,-10000,-270000,-214381,-228040,90000,-29428,550110,183370,1250000
Lesotho,-25000,-22400,-24048,-6538,-25760,-62682,-46345,-74427,-34493,-24418,-19998
Liberia,7996,11013,10996,11949,0,-400000,-300000,450000,-50000,175585,-20000
Libya,45891,48002,58665,57534,113380,5490,3965,8736,-11679,-82008,-501692
Lithuania,24715,26314,37782,38815,43804,36863,-100301,-111160,-83738,-141659,-169529
Luxembourg,8527,5918,15284,11846,2552,12831,20040,19940,14473,42279,48704
"Macao SAR, China",19802,36083,-7003,-6011,32747,37411,18844,20203,29866,56322,35000
"Macedonia, FYR",-40940,-28981,-61002,-14749,-72752,-98818,-133498,-4999,-15272,-4999,-4999
Madagascar,0,-8000,-19000,-30000,-8000,-8000,-7000,-6000,-5000,-5000,-5000
Malawi,-61928,-61928,-52404,-33348,-28605,913937,-899584,-36820,-36820,-36820,-30000
Malaysia,80684,-18722,-31056,-6950,158020,435408,298812,397501,490830,652234,450000
Maldives,-581,-2904,2415,0,0,-2605,-3072,-1100,-105,-53,-53
Mali,-70243,-98235,-95585,-174998,-218064,-480652,-173489,-141950,-67110,-100823,-302449
Malta,-26384,-12601,-9682,-4843,2880,1159,2893,4316,5760,13525,6252
Mauritania,-1820,-2760,-5950,-9700,-16100,-30300,-14700,9900,30000,-20000,-20000
Mauritius,-30869,-29156,-20463,-20617,-21632,-35977,-5611,-8858,-19372,-12079,0
Mexico,-411004,-620001,-899999,-1212001,-1519000,-1535834,-1302868,-1844707,-2841190,-409596,-523585
"Micronesia, Fed. Sts.",0,0,-7997,-548,0,-2461,-2234,-13618,-12850,-12132,-8192
Moldova,100890,74449,55824,-26414,-9185,-84531,-131953,-165309,-12079,-47911,-9529
Mongolia,0,0,0,0,0,0,-88432,-52463,-15001,-15001,-15001
Montenegro,-2001,-53773,-2001,-7401,-2001,-29965,-20249,-21588,-7999,-3108,-2412
Morocco,-240922,-477753,-497677,-293328,-320659,-418575,-466627,-559380,-694821,-577912,-310624
Mozambique,-23500,-23500,-23500,87373,-373366,-1300000,650000,-50000,37504,-50000,-25000
Myanmar,0,0,0,0,-54656,-200000,-699993,-537998,-1372688,-1466799,-474278
Namibia,0,-870,-2825,-44585,-29139,74791,23492,35497,-50000,-50000,-1371
Nepal,-70000,-21075,-5799,-41002,-101147,-216407,76064,-464703,-922843,-1023896,-372369
Netherlands,11589,54636,179460,180718,79525,133845,220083,153553,144620,55674,110006
New Caledonia,3347,1106,6442,-1222,-2085,475,4778,5571,4771,4234,5660
New Zealand,42751,-2624,76678,-74794,-2908,-9418,118016,42584,134629,62413,7265
Nicaragua,-14003,-18997,-37999,-58001,-110002,-150001,-120001,-145000,-173998,-155000,-135000
Niger,-11545,-11545,-13763,-18138,-92946,-91917,-2679,24056,-28497,-28497,-28497
Nigeria,1021,-43347,-38526,854649,-671640,-91407,-95769,-95027,-170000,-300000,-300000
Norway,-2274,13867,29273,20728,24805,38715,46903,58773,67400,174001,235665
Oman,-10000,-5000,25470,76409,81500,11169,93700,-207887,40452,185500,1211000
Pakistan,-93268,-209978,-138106,700000,1345233,139790,-1128724,-728632,-896486,-1296372,-1081918
Panama,-11928,-12692,-12288,-14077,-12704,-9395,1954,9797,16119,22244,28105
Papua New Guinea,-4317,2993,-7352,-8243,0,0,0,0,0,0,0
Paraguay,-70580,-65825,-58830,-46331,-21209,-17242,-31049,-43861,-46919,-117299,-86700
Peru,-30000,-50003,-87999,-98998,-117998,-185001,-293999,-540001,-634999,-489999,-240000
Philippines,364,-271845,-237734,-313636,-176673,-298756,-504878,-765620,-1097371,-1829034,-700000
Poland,-10196,-143114,-170903,-106595,-81891,-458986,-240502,-243932,38050,5235,-73809
Portugal,-547884,-701600,108187,198629,-66894,-147873,149122,173604,178353,127025,-140000
Puerto Rico,-91587,-134255,-41031,-19579,-48420,-55192,-296,-30450,-145704,-138043,-103537
Qatar,16337,20912,34368,28315,102097,57517,-22453,42840,185343,854839,363500
Romania,-2001,-2001,-2001,-99999,-200000,-200000,-520001,-610000,-490472,-874406,-437201
Russian Federation,-1394343,-550619,-290289,639801,1107000,906615,2519717,2308220,1735324,2157349,1117884
Rwanda,-140001,20000,-20000,-20000,-50002,29999,-1347866,1210134,-72601,-75001,-75001
Samoa,-1453,-5043,-13312,-17563,-17430,-18654,-13724,-17300,-15726,-15371,-12690
Sao Tome and Principe,-9152,-744,-2509,-1221,-5999,-5999,-5599,-8293,-5599,-5599,-5599
Saudi Arabia,125989,187007,491874,995676,1391626,590900,-25000,60187,945000,815000,850000
Senegal,50002,86522,65586,-134783,-85108,-60291,-70008,-209864,-151131,-166051,-99996
Seychelles,-851,-998,230,-200,-3099,-5295,625,-135,2513,-1111,-1551
Sierra Leone,0,0,0,0,0,62745,-450000,-150000,500000,60000,-21000
Singapore,428,-363,5889,14266,137811,119801,248927,255243,435595,449245,397936
Slovak Republic,-26427,-57838,-15254,-9696,-34777,-35312,-15108,-2964,1199,9597,1199
Slovenia,-22059,-14950,17942,34686,68363,32609,-17461,1487,14998,49624,4324
Solomon Islands,2348,2188,2118,182,-1,-1832,-971,-677,-4898,-11896,-11868
Somalia,-1046,1489,-6,1587565,-832045,-632286,-893365,-100004,-200000,-350000,-400000
South Africa,115210,200939,231569,73316,175112,-133363,804595,158911,1072076,1402640,600000
South Sudan,0,0,25000,60000,150000,-405000,-1076000,400000,432000,785000,865000
Spain,-193807,-145936,96990,76903,-43291,-67671,319268,896019,2829228,2250005,-593069
Sri Lanka,-47500,-38500,-145000,-237500,-395500,-137440,-255780,-461684,-449480,-520065,-484772
St. Lucia,-9372,-7697,-9649,-8932,-8141,-4262,-4806,-948,-227,2850,40
St. Vincent and the Grenadines,-9326,-10014,-8792,-7257,-7345,-7103,-8682,-7948,-5200,-5122,-5000
Sudan,0,0,20000,180000,220000,150000,1350000,-490000,-430000,-500000,-800000
Suriname,-11050,-13862,-56820,-40352,-31771,-4845,-3342,-2402,-22142,-5675,-5000
Swaziland,-9908,-9472,-7872,-9472,-14496,17149,-38243,-12000,-46077,-6000,-6000
Sweden,80351,130980,18798,88567,29799,134569,156460,58470,141723,262453,272626
Switzerland,276181,92978,25185,-135365,81040,130857,247406,65218,186125,344872,382267
Syrian Arab Republic,-16000,-16000,-81501,-161672,-87001,-146501,-70000,-130000,-379910,370000,-4029996
Tajikistan,77739,34640,28954,-5749,-21870,-37962,-289263,-324793,-96542,-65435,-117382
Tanzania,26997,36024,118989,-22250,37181,68208,591285,-205874,-295952,-265317,-199999
Thailand,0,0,402578,287226,341913,513675,-807534,695804,1102862,-858537,100000
Timor-Leste,670,864,2242,-93784,10300,-4850,-4186,-156056,12,-104946,-50004
Togo,-77885,138923,-49999,-100000,50001,-20000,-95003,-30000,-9994,-9994,-9994
Tonga,103,-3147,-7635,-7889,-12542,-10902,-11082,-8701,-8129,-8196,-8078
Trinidad and Tobago,-57936,-61563,-29357,-30858,-34278,-45071,-31973,-32545,-13159,-11303,-5000
Tunisia,-142495,-96523,-97065,-72068,85582,48999,140341,-36804,-139045,-32941,-32941
Turkey,-259169,-319769,-314799,-367998,-77591,-150000,-200001,-149998,-100002,-50000,2000003
Turkmenistan,36261,36429,31549,16341,-25116,-34319,43633,-60324,-114454,-57048,-25001
Uganda,125200,53330,-240530,-166660,-115340,233366,119995,-45737,-5000,-135000,-150000
Ukraine,454164,267629,209851,104383,189092,0,74421,-462264,-165445,235195,195000
United Arab Emirates,37882,53823,245222,391216,175581,260931,326830,484452,1180000,3493000,405000
United Kingdom,142563,-84853,106415,39119,-97495,98758,205443,498998,968350,1523939,900000
United States,958657,1495165,2840495,3872811,3279260,3686097,4568941,8692337,5149157,5070253,5007887
Uruguay,-6000,-34000,-136000,-60000,-30000,-30000,-20000,-26000,-104000,-50000,-30000
Uzbekistan,308297,444080,444273,78675,-114387,-388436,-400002,-290000,-449997,-290000,-195001
Vanuatu,67,-506,1439,245,-3312,-2801,-295,-7087,-502,1135,603
"Venezuela, RB",18874,3172,892,1094,1373,891,-572,-2061,-7648,-28395,-69121
Vietnam,0,0,0,-813123,-324942,-332327,-394236,-216001,-772336,-877681,-200002
Virgin Islands (U.S.),10270,3245,9407,1961,-3492,-11156,-4618,-3936,-5272,-6191,-3604
"Yemen, Rep.",-100000,-245662,-353000,-75000,-50000,-50000,672800,-100000,-100000,0,-50000
Zambia,2500,-4245,26662,17573,58483,2822,-22952,79445,-93014,-124044,-34490
Zimbabwe,-10001,-27996,-30360,-101516,141524,120505,-191803,-200000,-395554,-307650,-219922
